JTB,Nombre
SAPAD v23,SAP2000 Advanced v23
SAPUL v23,SAP2000 Ultimate v23
SAPPL v23,SAP2000 Plus v23
EtabPL v19,ETABS Plus v19
EtabUL v19,ETABS Ultimate v19
SAPPL v24,SAP2000 Plus v24
a_spaceclaim_dirmod,ANSYS SpaceClaim Direct Modeler
a_spaceclaim_faceteddata,ANSYS Faceted Data Toolkit for SpaceClaim
advanced_meshing,ANSYS Advanced Meshing
dsdxm,ANSYS DesignXplorer
mech_2,ANSYS Mechanical Premium
rdacis,ANSYS Geometry Interface for SAT
rdpara,ANSYS Geometry Interface for Parasolid
86063ACD_2014_0F,Autodesk AutoCAD 2014
86075RVT_2014_0F,Autodesk Revit 2014
86173CIV3D_2014_0F,Autodesk Civil 3D 2014
86273RVT_2015_0F,Autodesk Revit 2015
86295ACD_2015_0F,Autodesk AutoCAD 2015
86354CIV3D_2015_0F,Autodesk Civil 3D 2015
86480ARCHDESK_2017_0F,Autodesk AutoCAD Architecture 2017
86604ACD_2017_0F,Autodesk AutoCAD 2017
86606ARDES_2017_0F,Autodesk AutoCAD Raster Design 2017
86612ADSTPR_2017_0F,Autodesk Advance Steel 2017
86614ASPACD_2017_0F,Autodesk Advance Steel 2017 with AutoCAD
86627AMECH_PP_2017_0F,Autodesk AutoCAD Mechanical 2017
86631BLDSYS_2017_0F,Autodesk AutoCAD MEP 2017
866333DSMAX_2017_0F,Autodesk 3ds Max 2017
86635ACAD_E_2017_0F,Autodesk AutoCAD Electrical 2017
86635ACAD_E_2018_0F,Autodesk AutoCAD Electrical 2018
86648PNID_2017_0F,Autodesk AutoCAD P&ID 2017
86650PLNT3D_2017_0F,Autodesk AutoCAD Plant 3D 2017
86659RSAPRO_2017_0F,Autodesk Robot Structural Analysis Professional 2017
86706RVT_2017_0F,Autodesk Revit 2017
86718CIV3D_2017_0F,Autodesk Civil 3D 2017
86719MAP_2017_0F,Autodesk AutoCAD Map 3D 2017
86720UTLDESN_2017_0F,Autodesk AutoCAD Utility Design 2017
86726VEHTRK_2017_0F,Autodesk Vehicle Tracking 2017
86747RECAP_2017_0F,Autodesk ReCap 360 Pro
86766NAVMAN_2017_0F,Autodesk Navisworks Manage 2017
86777CADMEP_2017_0F,Autodesk Fabrication CADmep 2017
86792SBRDES_2017_0F,Autodesk Structural Bridge Design 2017
86815AECCOL_T_F,AEC Collection Package
86822DYNSTD_2017_0F,Autodesk Dynamo Studio 2017
86830ACD_2018_0F,Autodesk AutoCAD 2018
86832ARDES_2018_0F,Autodesk AutoCAD Raster Design 2018
868333DSMAX_2018_0F,Autodesk 3ds Max 2018
86839AMECH_PP_2018_0F,Autodesk AutoCAD Mechanical 2018
86855BLDSYS_2018_0F,Autodesk AutoCAD MEP 2018
86856ARCHDESK_2018_0F,Autodesk AutoCAD Architecture 2018
86857ADSTPR_2018_0F,Autodesk Advance Steel 2018
86866MAP_2018_0F,Autodesk AutoCAD Map 3D 2018
86893CIV3D_2018_0F,Autodesk Civil 3D 2018
86894PLNT3D_2018_0F,Autodesk AutoCAD Plant 3D 2018
86917RVT_2018_0F,Autodesk Revit 2018
86919SBRDES_2018_0F,Autodesk Structural Bridge Design 2018
86920VEHTRK_2018_0F,Autodesk Vehicle Tracking 2018
86937LIVE_2018_0F,Autodesk Live
86938CADMEP_2018_0F,Autodesk Fabrication CADmep 2018
86941RSAPRO_2018_0F,Autodesk Robot Structural Analysis Professional 2018
86984RECAP_2018_0F,Autodesk ReCap Pro
86998NAVMAN_2018_0F,Autodesk Navisworks Manage 2018
870723DSMAX_2019_0F,Autodesk 3ds Max 2019
87084ACD_2019_0F,Autodesk AutoCAD 2019
87086ARDES_2019_0F,Autodesk AutoCAD Raster Design 2019
87087ARCHDESK_2019_0F,Autodesk AutoCAD Architecture 2019
87088ACAD_E_2019_0F,Autodesk AutoCAD Electrical 2019
87089AMECH_PP_2019_0F,Autodesk AutoCAD Mechanical 2019
87090BLDSYS_2019_0F,Autodesk AutoCAD MEP 2019
87091MAP_2019_0F,Autodesk AutoCAD Map 3D 2019
87093RECAP_2019_0F,Autodesk ReCap Pro
87096ADSTPR_2019_0F,Autodesk Advance Steel 2019
87140CIV3D_2019_0F,Autodesk Civil 3D 2019
87149RVT_2019_0F,Autodesk Revit 2019
87151SBRDES_2019_0F,Autodesk Structural Bridge Design 2019
87152VEHTRK_2019_0F,Autodesk Vehicle Tracking 2019
87153PLNT3D_2019_0F,Autodesk AutoCAD Plant 3D 2019
87166CADMEP_2019_0F,Autodesk Fabrication CADmep 2019
87170RSAPRO_2019_0F,Autodesk Robot Structural Analysis Professional 2019
87176NAVMAN_2019_0F,Autodesk Navisworks Manage 2019
87195ACDIST_T_F,AutoCAD - including specialized toolsets Package
87224ACD_2020_0F,Autodesk AutoCAD 2020
87226ARDES_2020_0F,Autodesk AutoCAD Raster Design 2020
87227ARCHDESK_2020_0F,Autodesk AutoCAD Architecture 2020
87228ACAD_E_2020_0F,Autodesk AutoCAD Electrical 2020
87229AMECH_PP_2020_0F,Autodesk AutoCAD Mechanical 2020
87230BLDSYS_2020_0F,Autodesk AutoCAD MEP 2020
87240MAP_2020_0F,Autodesk AutoCAD Map 3D 2020
87241PLNT3D_2020_0F,Autodesk AutoCAD Plant 3D 2020
872423DSMAX_2020_0F,Autodesk 3ds Max 2020
87245RSAPRO_2020_0F,Autodesk Robot Structural Analysis Professional 2020
87246ADSTPR_2020_0F,Autodesk Advance Steel 2020
87251CIV3D_2020_0F,Autodesk Civil 3D 2020
87259RVT_2020_0F,Autodesk Revit 2020
87261SBRDES_2020_0F,Autodesk Structural Bridge Design 2020
87263VEHTRK_2020_0F,Autodesk Vehicle Tracking 2020
87282RECAP_2020_0F,Autodesk ReCap Pro 2020
87306NAVMAN_2020_0F,Autodesk Navisworks Manage 2020
87323CADMEP_2020_0F,Autodesk Fabrication CADmep 2020
87387IW360P_2020_0F,Autodesk InfraWorks 2020
87389RSAPRO_2021_0F,Autodesk Robot Structural Analysis Professional 2021
87393ACD_2021_0F,Autodesk AutoCAD 2021
